Year,Area,River,AWC,Lat,Long,Date(s),Lead Sampler,Sample Count,Duplicate For Canada?,,
2023,Petersburg,Kah Sheets Creek,106-42-10100,56.5302,-133.1424,8/17-8/19,Rice,24,No,,Final data stored on Teams document
2023,POW,Ratz Creek,106-10-10100,55.8885,-132.6209,"8/23/2023, 9/3 & 9/13/23",Schwanke,53,Yes,,
2023,Sitka,Patterson River,113-57-10050,57.64714,-135.82267,9/8/2023,Dupuis,39,No,,
2023,Sitka,Whitewater Creek,112-90-10140,57.24247,-134.50679,9/19-9/20,Dupuis,80,,,
2023,Sitka,Chaik Bay Creek,112-80-10280,57.30103,-134.44079,9/22/2023,Dupuis,1,,,
2023,Petersburg,Petersburg Creek (Lake),106-44-10600,56.867123,-133.167106,9/28/2023,"Rice, Weiliczkiewcz",71,Yes,,
2023,Juneau ,Salmon River,114-23-10080,58.4378,135.7459,9/28/2023,"Catterson, Love",4,Yes,,
2023,Petersburg,Falls Creek,106-44-10060,56.68185,-132.92382,9/22/2023,"Rice, Calvitti",23,Partial,,
2023,Petersburg,Mitchell Creek,106-43-10800,56.706426,-133.134073,9/25 - 10/6/2023,"Rice, Calvitti",39,Partial,,
2023,Petersburg,Sumner Creek,108-40-10450,56.544828,-132.780933,9/13/2023,"Rice, Larson",2,No,,
2023,Yakutat,Middle Italio,,,,9/7/2023,Hoffman,65,,,
2023,Ketchikan,Reflection Lake,101-80-10840,56.057402,-131.622959,10/10-14/2023,Piston and Fish,209,Yes,,
2023,Ketchikan,Ward Creek,101-47-10150,55.43329722,-131.682325,8/25-10/18/2023,Piston and Fish,103,Yes,,
2023,Ketchikan,Lucky Creek,101-41-10250,55.207486,-131.239803,7/17 & 7/24/2023,Piston and Fish,103,Yes,,
2023,Ketchikan,Red Bay Lake Creek,101-41-10300,56.259066,-133.323425,9/2-9/9/2023,Piston and Fish,88,Yes,,
2023,Ketchikan,Naukati Creek ,103-90-10260,55.894116,-133.134117,9/6-9/8/2023,Piston and Fish,105,Yes,,
2023,Ketchikan,Kayaashkeiditaan Creek,106-30-10820-2003,56.141082,-133.099762,9/8/2023,Piston and Fish,68,Yes,,
2023,Ketchikan,Wasta Creek,101-80-10400,55.852323,-131.925979,10/3-10/4/2023,Piston and Fish,29,Yes,,
2023,Haines,Spring Creek,115-32-10250-2067-3008-4007,59.3832,-136.0681,10/17/2023,Tugaw,10,No,,
2023,Sitka,Lake Eva,113-52-10040,57.4059,-135.0873,10/10/2023,Monica Matz,30,No,,
