Weir Name,Stream Name,Year,Obs Date,Obs Day (mm/dd),Weir Count Type,Species,Maturity,Count
Situk Lower,Situk RIver,1988,6/7/1988,7-Jun,Counted live,Sockeye,Adult,2
Situk Lower,Situk RIver,1988,6/10/1988,10-Jun,Counted live,Sockeye,Adult,1
Situk Lower,Situk RIver,1988,6/11/1988,11-Jun,Counted live,Sockeye,Adult,1
Situk Lower,Situk RIver,1988,6/17/1988,17-Jun,Counted live,Sockeye,Adult,3
Situk Lower,Situk RIver,1988,6/18/1988,18-Jun,Counted live,Sockeye,Adult,2
Situk Lower,Situk RIver,1988,6/19/1988,19-Jun,Counted live,Sockeye,Adult,3
Situk Lower,Situk RIver,1988,6/20/1988,20-Jun,Counted live,Sockeye,Adult,2
Situk Lower,Situk RIver,1988,6/22/1988,22-Jun,Counted live,Sockeye,Adult,957
Situk Lower,Situk RIver,1988,6/24/1988,24-Jun,Counted live,Sockeye,Adult,14
Situk Lower,Situk RIver,1988,6/25/1988,25-Jun,Counted live,Sockeye,Adult,5
Situk Lower,Situk RIver,1988,6/26/1988,26-Jun,Counted live,Sockeye,Adult,35
Situk Lower,Situk RIver,1988,6/27/1988,27-Jun,Counted live,Sockeye,Adult,25
Situk Lower,Situk RIver,1988,6/28/1988,28-Jun,Counted live,Sockeye,Adult,1144
Situk Lower,Situk RIver,1988,6/29/1988,29-Jun,Counted live,Sockeye,Adult,8145
Situk Lower,Situk RIver,1988,6/30/1988,30-Jun,Counted live,Sockeye,Adult,1775
Situk Lower,Situk RIver,1988,7/1/1988,1-Jul,Counted live,Sockeye,Adult,604
Situk Lower,Situk RIver,1988,7/2/1988,2-Jul,Counted live,Sockeye,Adult,2755
Situk Lower,Situk RIver,1988,7/3/1988,3-Jul,Counted live,Sockeye,Adult,987
Situk Lower,Situk RIver,1988,7/4/1988,4-Jul,Counted live,Sockeye,Adult,94
Situk Lower,Situk RIver,1988,7/5/1988,5-Jul,Counted live,Sockeye,Adult,253
Situk Lower,Situk RIver,1988,7/6/1988,6-Jul,Counted live,Sockeye,Adult,490
Situk Lower,Situk RIver,1988,7/6/1988,6-Jul,Weir mortalities,Sockeye,Adult,1
Situk Lower,Situk RIver,1988,7/7/1988,7-Jul,Counted live,Sockeye,Adult,3679
Situk Lower,Situk RIver,1988,7/8/1988,8-Jul,Counted live,Sockeye,Adult,281
Situk Lower,Situk RIver,1988,7/8/1988,8-Jul,Weir mortalities,Sockeye,Adult,1
Situk Lower,Situk RIver,1988,7/9/1988,9-Jul,Counted live,Sockeye,Adult,20
Situk Lower,Situk RIver,1988,7/9/1988,9-Jul,Weir mortalities,Sockeye,Adult,1
Situk Lower,Situk RIver,1988,7/10/1988,10-Jul,Counted live,Sockeye,Adult,1329
Situk Lower,Situk RIver,1988,7/10/1988,10-Jul,Weir mortalities,Sockeye,Adult,1
Situk Lower,Situk RIver,1988,7/11/1988,11-Jul,Counted live,Sockeye,Adult,1683
Situk Lower,Situk RIver,1988,7/12/1988,12-Jul,Counted live,Sockeye,Adult,1021
Situk Lower,Situk RIver,1988,7/13/1988,13-Jul,Counted live,Sockeye,Adult,4210
Situk Lower,Situk RIver,1988,7/14/1988,14-Jul,Counted live,Sockeye,Adult,255
Situk Lower,Situk RIver,1988,7/15/1988,15-Jul,Counted live,Sockeye,Adult,72
Situk Lower,Situk RIver,1988,7/15/1988,15-Jul,Weir mortalities,Sockeye,Adult,1
Situk Lower,Situk RIver,1988,7/16/1988,16-Jul,Counted live,Sockeye,Adult,175
Situk Lower,Situk RIver,1988,7/17/1988,17-Jul,Counted live,Sockeye,Adult,190
Situk Lower,Situk RIver,1988,7/18/1988,18-Jul,Counted live,Sockeye,Adult,519
Situk Lower,Situk RIver,1988,7/18/1988,18-Jul,Weir mortalities,Sockeye,Adult,3
Situk Lower,Situk RIver,1988,7/19/1988,19-Jul,Counted live,Sockeye,Adult,1714
Situk Lower,Situk RIver,1988,7/20/1988,20-Jul,Counted live,Sockeye,Adult,717
Situk Lower,Situk RIver,1988,7/21/1988,21-Jul,Counted live,Sockeye,Adult,64
